ProductKey,ProductCategoryKey,ProductSKU,ProductCost,ProductPrice
483,4,RA-H123,44.88,120
486,4,ST-1401,59.466,159
477,4,WB-H098,1.8663,4.99
478,4,BC-M005,3.7363,9.99
479,4,BC-R205,3.3623,8.99
484,4,CL-9009,2.9733,7.95
485,4,FE-6654,8.2205,21.98
214,4,HL-U509-R,130.863,34.99
215,4,HL-U509,12.0278,336.442
220,4,HL-U509-B,12.0278,336.442
487,4,HY-1023-70,205.663,54.99
450,4,LT-T990,5.7709,13.99
451,4,LT-H902,144.334,34.99
452,4,LT-H903,185.584,44.99
447,4,LO-C100,10.3125,25
446,4,PA-T100,515.625,125
448,4,PU-0452,8.2459,19.99
449,4,PU-M044,10.3084,24.99
480,4,PK-7098,8.565,2.29
528,4,TT-M928,1.8663,4.99
529,4,TT-R982,1.4923,3.99
530,4,TT-T092,1.8663,4.99
535,4,TI-M267,9.3463,24.99
536,4,TI-M602,11.2163,29.99
537,4,TI-M823,13.09,35
538,4,TI-R092,8.0373,21.49
539,4,TI-R628,9.3463,24.99
540,4,TI-R982,12.1924,32.6
541,4,TI-T723,10.8423,28.99
459,3,SB-M891-S,371.209,89.99
460,3,SB-M891-M,371.209,89.99
461,3,SB-M891-L,371.209,89.99
223,3,CA-1098,5.7052,8.6442
462,3,GL-H102-S,9.7136,235.481
464,3,GL-H102-M,9.7136,235.481
466,3,GL-H102-L,9.7136,235.481
468,3,GL-F110-S,156.709,37.99
469,3,GL-F110-M,156.709,37.99
470,3,GL-F110-L,156.709,37.99
226,3,LJ-0192-S,317.244,480.673
229,3,LJ-0192-M,317.244,480.673
232,3,LJ-0192-L,317.244,480.673
235,3,LJ-0192-X,317.244,480.673
488,3,SJ-0194-S,415.723,53.99
489,3,SJ-0194-M,415.723,53.99
490,3,SJ-0194-L,415.723,53.99
491,3,SJ-0194-X,415.723,53.99
445,3,SH-M897-S,247.459,59.99
453,3,SH-M897-M,247.459,59.99
454,3,SH-M897-L,247.459,59.99
455,3,SH-M897-X,247.459,59.99
474,3,SH-W890-S,261.763,69.99
475,3,SH-W890-M,261.763,69.99
476,3,SH-W890-L,261.763,69.99
218,3,SO-B909-M,3.3963,9.5
219,3,SO-B909-L,3.3963,9.5
481,3,SO-R809-M,3.3623,8.99
482,3,SO-R809-L,3.3623,8.99
456,3,TG-W091-S,309.334,74.99
457,3,TG-W091-M,309.334,74.99
458,3,TG-W091-L,309.334,74.99
471,3,VE-C304-S,23.749,63.5
472,3,VE-C304-M,23.749,63.5
473,3,VE-C304-L,23.749,63.5
397,2,HB-M243,17.978,404.909
399,2,HB-M763,249.932,562.909
401,2,HB-M918,485.453,1.093.364
403,2,HB-R504,17.978,404.909
405,2,HB-R720,249.932,562.909
407,2,HB-R956,485.453,1.093.364
553,2,HB-T721,20.464,46.09
554,2,HB-T928,406.571,91.57
601,2,BB-7421,239.716,53.99
602,2,BB-8107,449.506,101.24
603,2,BB-9108,539.416,121.49
514,2,RB-9231,47.286,106.5
555,2,FB-9873,47.286,106.5
559,2,CH-0234,8.9866,20.24
556,2,CS-4759,779.176,175.49
557,2,CS-6583,1.138.816,256.49
558,2,CS-9183,1.798.156,404.99
501,2,RD-2308,539.282,121.46
552,2,FD-2342,406.216,91.49
391,2,FK-1639,658.097,148.22
392,2,FK-5136,779.176,175.49
393,2,FK-9939,1.018.936,229.49
394,2,HS-0296,151.848,34.2
395,2,HS-2451,454.168,102.29
396,2,HS-3479,553.801,124.73
288,2,FR-M94S-42,6.238.403,12.043.248
291,2,FR-M94S-44,706.811,1364.5
292,2,FR-M94S-52,706.811,1364.5
293,2,FR-M94S-46,6.238.403,12.043.248
296,2,FR-M94B-42,6.170.281,11.911.739
299,2,FR-M94B-44,6.990.928,1349.6
300,2,FR-M94B-48,6.990.928,1349.6
301,2,FR-M94B-46,6.170.281,11.911.739
304,2,FR-M94B-38,6.170.281,11.911.739
307,2,FR-M94S-38,6.238.403,12.043.248
409,2,FR-M63B-38,1.858.193,348.76
426,2,FR-M63B-40,1.858.193,348.76
427,2,FR-M63B-44,1.858.193,348.76
428,2,FR-M63B-48,1.858.193,348.76
511,2,FR-M63S-40,1.993.757,364.09
512,2,FR-M63S-42,1.993.757,364.09
513,2,FR-M63S-46,1.993.757,364.09
524,2,FR-M21S-42,1.445.938,264.05
525,2,FR-M21S-44,1.445.938,264.05
526,2,FR-M21S-48,1.445.938,264.05
527,2,FR-M21S-52,1.445.938,264.05
531,2,FR-M21B-42,136.785,249.79
532,2,FR-M21B-44,136.785,249.79
533,2,FR-M21B-48,136.785,249.79
534,2,FR-M21B-52,136.785,249.79
549,2,FR-M63S-38,1.993.757,364.09
550,2,FR-M21B-40,136.785,249.79
551,2,FR-M21S-40,1.445.938,264.05
542,2,PD-M282,179.776,40.49
543,2,PD-M340,27.568,62.09
544,2,PD-M562,359.596,80.99
545,2,PD-R347,179.776,40.49
546,2,PD-R563,27.568,62.09
547,2,PD-R853,359.596,80.99
548,2,PD-T852,359.596,80.99
238,2,FR-R92R-62,7.479.682,12.634.598
241,2,FR-R92R-44,7.479.682,12.634.598
244,2,FR-R92R-48,7.479.682,12.634.598
247,2,FR-R92R-52,7.479.682,12.634.598
